Numéro Région,libellé,nom court,secteur d'établissement,Région,Departement2,Page Wikipédia en français
76,TBS Education,,privé,Occitanie,31,https://fr.wikipedia.org/wiki/TBS_Education
75,Université de Poitiers,Université Poitiers,public,Nouvelle-Aquitaine,86,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Poitiers
93,Université de Toulon,Université Toulon,public,Provence-Alpes-Côte d'Azur,83,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Toulon
11,École spéciale d'architecture,,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_sp%C3%A9ciale_d%27architecture
53,Université de Rennes,UNIVRENNES,public,Bretagne,35,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Rennes
93,Aix-Marseille Université,amU,public,Provence-Alpes-Côte d'Azur,13,https://fr.wikipedia.org/wiki/Universit%C3%A9_d%27Aix-Marseille
11,École du Louvre,EDL,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_du_Louvre
11,École nationale supérieure d'architecture de Paris-Malaquais,ENSAPM,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Paris-Malaquais
76,École nationale supérieure d'architecture de Toulouse,ENSA Toulouse,public,Occitanie,31,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Toulouse
11,École nationale supérieure des arts décoratifs,ÉnsAD-Paris,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_arts_d%C3%A9coratifs
11,Facultés Libres de Philosophie et de Psychologie,IPC,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/IPC_-_Facult%C3%A9s_libres_de_philosophie_et_de_psychologie
44,Institut national des sciences appliquées de Strasbourg,INSA de Strasbourg,public,Grand Est,67,https://fr.wikipedia.org/wiki/Institut_national_des_sciences_appliqu%C3%A9es_de_Strasbourg
