code_insee,name,tourism,latitude,longitude
69123,La Feyssine Parc Naturel Urbain,information,45.7857422,4.8639932
69123,N/A,information,45.8037772,4.8926861
69123,N/A,information,45.7960764,4.8775523
69123,Maison des Canuts,museum,45.777106,4.8336847
69123,Hôtel Saint-Vincent,hotel,45.768555,4.8278679
69123,Belvédère de Cuire,viewpoint,45.7904959,4.8302537
69123,Chez Jeannot,hotel,45.6777916,4.9178256
69123,Carpeaux au travail,artwork,45.7667398,4.8333633
69123,Démocrite méditant sur le siège de l'âme,artwork,45.7669377,4.8338932
69123,L'Ombre,artwork,45.7668647,4.8338686
69123,Le joueur de flûte,artwork,45.7668003,4.8339169
69123,N/A,artwork,45.7666431,4.8332771
69123,N/A,artwork,45.7667255,4.8340227
69123,N/A,artwork,45.7669509,4.8332261
69123,N/A,artwork,45.7670342,4.8339785
69123,N/A,information,45.7472312,4.8065018
69123,Service municipal des objets trouvés de la Ville de Lyon,information,45.7729786,4.7970839
69123,Le Bourg,information,45.7371834,4.7652581
69123,Hôtel ParkSaône,hotel,45.7923598,4.8191925
69123,N/A,artwork,45.7802761,4.8200923
69123,Cosinus hyperbolique 3 arches,artwork,45.7827497,4.8753043
69123,B&b Hôtel Lyon Ouest Tassin,hotel,45.7730125,4.7922877
69123,N/A,viewpoint,45.7283916,4.818534
69123,N/A,information,45.7582891,4.773986
69123,Holiday Inn Lyon - Vaise,hotel,45.7720585,4.7911934
69123,Échiquier géant de Rockefeller,artwork,45.741382,4.8814126
69123,King Aventure,theme_park,45.8015106,4.7665084
69123,Musée Jean Couty,museum,45.797918,4.8293849
69123,N/A,artwork,45.7247636,4.9344263
69123,Atelier An.Berto,gallery,45.7571143,4.8417535
69123,Chapoly,information,45.7713683,4.7363101
69123,Le Ponterle,information,45.7582423,4.7518618
69123,Stade,attraction,45.7088764,4.7365148
69123,École primaire LS,attraction,45.7113937,4.7424264
69123,La vie cachée de la mare,information,45.7701208,4.7358128
69123,La Thuillière,information,45.7912614,4.7518028
69123,Les Mouilles,information,45.7985164,4.7529756
69123,N/A,picnic_site,45.7449158,4.8158298
69123,Galerie Wawi,gallery,45.7689309,4.8579365
69123,La Villotière,information,45.8320147,4.8846701
69123,Q7 Lodge Appart Hôtel,hotel,45.7406263,4.8339468
69123,La Rize Patrimoine naturel protégons-la,information,45.7724285,4.9330109
69123,N/A,information,45.8068295,4.7880854
69123,La Ronde,information,45.8185105,4.7890493
69123,Les Seignes,information,45.8152672,4.7868982
69123,Découverte des Monts d'Or,information,45.8572046,4.8023578
69123,L'Ecoran,information,45.8443057,4.8280274
69123,Vieux Lyon,yes,45.7624951,4.8268635
69123,N/A,information,45.6765743,4.876262
69123,Le sentier des Moissons,information,45.6735036,4.8761909
69123,Totem,artwork,45.6703953,4.8717208
69123,N/A,information,45.6656343,4.8727533
69123,N/A,information,45.6624937,4.8712064
69123,Nous les oiseaux migrateurs,information,45.662493,4.8729542
69123,Les Galandières,information,45.6624935,4.8729763
69123,N/A,information,45.6655016,4.8748693
69123,Totem,artwork,45.6656488,4.8850449
69123,Les bandes enherbées,information,45.6661736,4.8816191
69123,Les drains,information,45.6662289,4.8812167
69123,L'alouette des champs,information,45.6662851,4.8792017
69123,L'Arbre PAysan,information,45.6662617,4.8767515
69123,N/A,information,45.6662373,4.8758322
69123,Histoire géologique de plateau des Grandes Terres,information,45.6684062,4.8752341
69123,Regardez la saison des mares,information,45.6683894,4.8751838
69123,La nature prend le relai,information,45.6684585,4.8752616
69123,N/A,information,45.6710893,4.8757759
69123,Entre Grandes Cultures et Grands Ensembles,information,45.6727773,4.8757866
69123,L'évolution du paysage,information,45.6739529,4.8762057
69123,N/A,information,45.6740143,4.8761239
